From,To,Hour,Fuel,Value,Technology
DK,UK,18,Power,-0.0,Export
UK,UK,18,Power,-0.0,Export
DE,DE,19,Power,-0.0,Export
FR,DE,19,Power,-0.0,Export
NO,DE,19,Power,-0.0,Export
DK,DE,19,Power,-0.0,Export
UK,DE,19,Power,-0.0,Export
DE,FR,19,Power,-0.0,Export
FR,FR,19,Power,-0.0,Export
NO,FR,19,Power,-0.0,Export
DK,FR,19,Power,-0.0,Export
UK,FR,19,Power,6.104850812708265,Export
DE,NO,19,Power,-0.0,Export
FR,NO,19,Power,-0.0,Export
NO,NO,19,Power,-0.0,Export
DK,NO,19,Power,-0.0,Export
UK,NO,19,Power,-0.0,Export
DE,DK,19,Power,-0.0,Export
FR,DK,19,Power,-0.0,Export
NO,DK,19,Power,-0.0,Export
DK,DK,19,Power,-0.0,Export
UK,DK,19,Power,-0.0,Export
DE,UK,19,Power,-0.0,Export
FR,UK,19,Power,-0.0,Export
NO,UK,19,Power,-0.0,Export
DK,UK,19,Power,-0.0,Export
UK,UK,19,Power,-0.0,Export
DE,DE,20,Power,-0.0,Export
FR,DE,20,Power,-0.0,Export
NO,DE,20,Power,-0.0,Export
DK,DE,20,Power,-0.0,Export
UK,DE,20,Power,-0.0,Export
DE,FR,20,Power,10.459184340509205,Export
FR,FR,20,Power,-0.0,Export
NO,FR,20,Power,-0.0,Export
DK,FR,20,Power,-0.0,Export
UK,FR,20,Power,6.104850812708265,Export
DE,NO,20,Power,-0.0,Export
FR,NO,20,Power,-0.0,Export
NO,NO,20,Power,-0.0,Export
DK,NO,20,Power,-0.0,Export
UK,NO,20,Power,-0.0,Export
DE,DK,20,Power,-0.0,Export
FR,DK,20,Power,-0.0,Export
NO,DK,20,Power,-0.0,Export
DK,DK,20,Power,-0.0,Export
UK,DK,20,Power,-0.0,Export
DE,UK,20,Power,-0.0,Export
FR,UK,20,Power,-0.0,Export
NO,UK,20,Power,-0.0,Export
DK,UK,20,Power,-0.0,Export
UK,UK,20,Power,-0.0,Export
DE,DE,21,Power,-0.0,Export
FR,DE,21,Power,-0.0,Export
NO,DE,21,Power,-0.0,Export
DK,DE,21,Power,-0.0,Export
UK,DE,21,Power,-0.0,Export
DE,FR,21,Power,5.444955252994585,Export
FR,FR,21,Power,-0.0,Export
NO,FR,21,Power,-0.0,Export
DK,FR,21,Power,-0.0,Export
UK,FR,21,Power,6.104850812708265,Export
DE,NO,21,Power,-0.0,Export
FR,NO,21,Power,-0.0,Export
NO,NO,21,Power,-0.0,Export
DK,NO,21,Power,-0.0,Export
UK,NO,21,Power,-0.0,Export
DE,DK,21,Power,-0.0,Export
FR,DK,21,Power,-0.0,Export
NO,DK,21,Power,-0.0,Export
DK,DK,21,Power,-0.0,Export
UK,DK,21,Power,-0.0,Export
DE,UK,21,Power,-0.0,Export
FR,UK,21,Power,-0.0,Export
NO,UK,21,Power,-0.0,Export
DK,UK,21,Power,-0.0,Export
