region,hour,technology,value
DK,76,WindOnshore,0.120284057
DK,77,WindOnshore,0.031408772
DK,78,WindOnshore,0.043169571
DK,79,WindOnshore,0.068950746
DK,80,WindOnshore,0.27466554
DK,81,WindOnshore,0.230168483
DK,82,WindOnshore,0.231723447
DK,83,WindOnshore,0.037219807
DK,84,WindOnshore,0.04641
DK,85,WindOnshore,0.071270009
DK,86,WindOnshore,0.043109437
DK,87,WindOnshore,0.229466393
DK,88,WindOnshore,0.178954288
DK,89,WindOnshore,0.243010341
DK,90,WindOnshore,0.12887396
DK,91,WindOnshore,0.234998959
DK,92,WindOnshore,0.245570918
DK,93,WindOnshore,0.364008901
DK,94,WindOnshore,0.21890941
DK,95,WindOnshore,0.216940699
DK,96,WindOnshore,0.107279046
DK,97,WindOnshore,0.238538428
DK,98,WindOnshore,0.466208314
DK,99,WindOnshore,0.725051138
DK,100,WindOnshore,0.769548
DK,101,WindOnshore,0.535344868
DK,102,WindOnshore,0.416568318
DK,103,WindOnshore,0.315244124
DK,104,WindOnshore,0.414585831
DK,105,WindOnshore,0.468915314
DK,106,WindOnshore,0.429249185
DK,107,WindOnshore,0.253903267
DK,108,WindOnshore,0.105724208
DK,109,WindOnshore,0.265724091
DK,110,WindOnshore,0.383890211
DK,111,WindOnshore,0.674414661
DK,112,WindOnshore,0.383488275
DK,113,WindOnshore,0.38558626
DK,114,WindOnshore,0.14862271
DK,115,WindOnshore,0.229950539
DK,116,WindOnshore,0.266071054
DK,117,WindOnshore,0.510222658
DK,118,WindOnshore,0.489400567
DK,119,WindOnshore,0.515017673
DK,120,WindOnshore,0.318323957
FR,1,WindOffshore,0.627160941
FR,2,WindOffshore,0.464395345
FR,3,WindOffshore,0.282734755
FR,4,WindOffshore,0.255129711
FR,5,WindOffshore,0.309180485
FR,6,WindOffshore,0.529326339
FR,7,WindOffshore,0.645084273
FR,8,WindOffshore,0.804784371
FR,9,WindOffshore,0.886486271
FR,10,WindOffshore,0.93256302
FR,11,WindOffshore,1.029718089
FR,12,WindOffshore,1.022171236
FR,13,WindOffshore,0.878318109
FR,14,WindOffshore,0.584711679
FR,15,WindOffshore,0.21664911
FR,16,WindOffshore,0.121468831
FR,17,WindOffshore,0.370431038
FR,18,WindOffshore,0.699906842
FR,19,WindOffshore,0.830258124
FR,20,WindOffshore,0.596407396
FR,21,WindOffshore,0.396592679
FR,22,WindOffshore,0.219909567
FR,23,WindOffshore,0.474272632
FR,24,WindOffshore,0.587008915
FR,25,WindOffshore,0.653764682
FR,26,WindOffshore,0.516497292
FR,27,WindOffshore,0.437450508
FR,28,WindOffshore,0.394579028
FR,29,WindOffshore,0.465935194
FR,30,WindOffshore,0.579027427
FR,31,WindOffshore,0.885466016
FR,32,WindOffshore,0.663801026
FR,33,WindOffshore,0.493938527
FR,34,WindOffshore,0.266659388
FR,35,WindOffshore,0.450104923
FR,36,WindOffshore,0.464685077
FR,37,WindOffshore,0.377179821
FR,38,WindOffshore,0.277687212
FR,39,WindOffshore,0.184725361
FR,40,WindOffshore,0.181491963
FR,41,WindOffshore,0.048365181
FR,42,WindOffshore,0.200120903
FR,43,WindOffshore,0.503231087
FR,44,WindOffshore,0.820395832
FR,45,WindOffshore,0.706277858
FR,46,WindOffshore,0.50864127
FR,47,WindOffshore,0.392914469
FR,48,WindOffshore,0.318649867
FR,49,WindOffshore,0.296418004
FR,50,WindOffshore,0.181612217
FR,51,WindOffshore,0.257261681
FR,52,WindOffshore,0.456707872
FR,53,WindOffshore,0.54800752
FR,54,WindOffshore,0.527480397
FR,55,WindOffshore,0.396637101
FR,56,WindOffshore,0.2228184
FR,57,WindOffshore,0.558005906
FR,58,WindOffshore,0.42923557
FR,59,WindOffshore,0.522543009
FR,60,WindOffshore,0.216090479
FR,61,WindOffshore,0.142925844
FR,62,WindOffshore,0.278713947
FR,63,WindOffshore,0.348184499
FR,64,WindOffshore,0.363512936
FR,65,WindOffshore,0.147774456
FR,66,WindOffshore,0.148200293
FR,67,WindOffshore,0.157425792
FR,68,WindOffshore,0.142950812
FR,69,WindOffshore,0.239419898
FR,70,WindOffshore,0.249662153
FR,71,WindOffshore,0.383453663
FR,72,WindOffshore,0.146506695
FR,73,WindOffshore,0.22903588
FR,74,WindOffshore,0.108949683
FR,75,WindOffshore,0.244377443
FR,76,WindOffshore,0.180744138
FR,77,WindOffshore,0.184349774
FR,78,WindOffshore,0.099297005
FR,79,WindOffshore,0.05650415
FR,80,WindOffshore,0.075328117
FR,82,WindOffshore,0.07606905
FR,83,WindOffshore,0.206281043
FR,84,WindOffshore,0.409664768
FR,85,WindOffshore,0.683146055
FR,86,WindOffshore,0.827844953
FR,87,WindOffshore,0.646589229
FR,88,WindOffshore,0.291911044
FR,89,WindOffshore,0.066597233
FR,90,WindOffshore,0.211783298
FR,91,WindOffshore,0.282527018
FR,92,WindOffshore,0.177011202
FR,93,WindOffshore,0.329076595
FR,94,WindOffshore,0.3990135
FR,95,WindOffshore,0.698404125
FR,96,WindOffshore,0.724600904
FR,97,WindOffshore,0.904736422
FR,98,WindOffshore,0.90915752
FR,99,WindOffshore,0.902289358
FR,100,WindOffshore,0.787374186
FR,101,WindOffshore,0.771604517
FR,102,WindOffshore,0.531083945
FR,103,WindOffshore,0.606322584
FR,104,WindOffshore,0.357228475
FR,105,WindOffshore,0.345585866
FR,106,WindOffshore,0.424665639
FR,107,WindOffshore,0.76886616
FR,108,WindOffshore,0.984121667
FR,109,WindOffshore,0.654393374
FR,110,WindOffshore,0.437648134
FR,111,WindOffshore,0.249166894
FR,112,WindOffshore,0.355354522
FR,113,WindOffshore,0.2293257
FR,114,WindOffshore,0.403262126
FR,115,WindOffshore,0.415582289
FR,116,WindOffshore,0.642431762
FR,117,WindOffshore,0.678051005
FR,118,WindOffshore,0.766851764
FR,119,WindOffshore,0.658358365
FR,120,WindOffshore,0.540314841
FR,1,WindOnshore,0.263955689
FR,2,WindOnshore,0.174358244
FR,3,WindOnshore,0.059756212
FR,4,WindOnshore,0.035318519
FR,5,WindOnshore,0.053766394
FR,6,WindOnshore,0.112957346
FR,7,WindOnshore,0.168479398
FR,8,WindOnshore,0.174401878
FR,9,WindOnshore,0.266656291
FR,10,WindOnshore,0.465919322
FR,11,WindOnshore,0.652320304
FR,12,WindOnshore,0.697128
FR,13,WindOnshore,0.433724711
FR,14,WindOnshore,0.248150766
FR,15,WindOnshore,0.035305
FR,16,WindOnshore,0.033755758
FR,17,WindOnshore,0.144684882
FR,18,WindOnshore,0.248143854
FR,19,WindOnshore,0.254852404
FR,20,WindOnshore,0.111549531
FR,21,WindOnshore,0.127193717
FR,22,WindOnshore,0.138594416
FR,23,WindOnshore,0.322097046
FR,24,WindOnshore,0.260785235
FR,25,WindOnshore,0.286182264
FR,26,WindOnshore,0.124877158
FR,27,WindOnshore,0.136635072
